소속 ID,종류,지역,야구부 평판,최초 요청 이름,v0.3 이름,적용 이름,변경 사유,이번 확인 범위,이번 확인 출처,v0.3 수정 사유
hs054,high-school,경기·강원,중견,곤지암고,곤지암별하고,해리스고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%ED%95%B4%EB%A6%AC%EC%8A%A4%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs056,high-school,인천,중견,청라고,청라별하고,청라해운고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EC%B2%AD%EB%9D%BC%ED%95%B4%EC%9A%B4%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs058,high-school,인천,중견,소래고,소래해울고,소래공고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EC%86%8C%EB%9E%98%EA%B3%B5%EC%97%85%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs059,high-school,대전·충청·전북,중견,익산고,익산청람고,익산농고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EC%9D%B5%EC%82%B0%EB%86%8D%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs061,high-school,대전·충청·전북,중견,세종고,세종해울고,세종컴퓨터과학고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EC%84%B8%EC%A2%85%EC%BB%B4%ED%93%A8%ED%84%B0%EA%B3%BC%ED%95%99%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs063,high-school,대구·경북,중견,대명고,대명별하고,대명가톨릭고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EB%8C%80%EB%AA%85%EA%B0%80%ED%86%A8%EB%A6%AD%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs065,high-school,대구·경북,중견,와룡고,와룡청람고,봉추고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EB%B4%89%EC%B6%94%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs072,high-school,부산·울산,중견,부산진고,부산진청람고,부산진영고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EB%B6%80%EC%82%B0%EC%A7%84%EC%98%81%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs083,high-school,경기·강원,약소,신월고,신월별하고,신월향고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EC%8B%A0%EC%9B%94%ED%96%A5%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs084,high-school,인천,약소,인천남동고,인천남동청람고,인천남동공고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EC%9D%B8%EC%B2%9C%EB%82%A8%EB%8F%99%EA%B3%B5%EC%97%85%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs086,high-school,대전·충청·전북,약소,도안고,도안해울고,도연고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EB%8F%84%EC%97%B0%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs088,high-school,대전·충청·전북,약소,충주상고,충주해울상고,충주호암고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EC%B6%A9%EC%A3%BC%ED%98%B8%EC%95%94%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs096,high-school,부산·울산,약소,장산고,장산고,장산자동차고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EC%9E%A5%EC%82%B0%EC%9E%90%EB%8F%99%EC%B0%A8%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,원안 유지
hs101,hs-club,광주·전남·제주,약소,영산고,영산청람고,영산BC,사용자 지정: 고교에서 고교 연령 BC로 변경,club-outside-school-register,NEIS 학교정보 대상 외,공개 학교 명칭 또는 지역 약칭과 충돌
hs102,high-school,광주·전남·제주,약소,목포공고,목포해울공고,목포해양과학고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EB%AA%A9%ED%8F%AC%ED%95%B4%EC%96%91%EA%B3%BC%ED%95%99%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
uni00,college,서울,명문,한국대,한국청람대,민국대,사용자 최종 지정 이름,이번 수정판의 NEIS 학교명 확인 대상 외,사용자 수정안 / 이전 audit 기록,서경대학교의 과거 한국대학 명칭과 혼동 방지
uni03,college,대구·경북,강호,성운대,성운서림대,성운과학기술대,사용자 최종 지정 이름,이번 수정판의 NEIS 학교명 확인 대상 외,사용자 수정안 / 이전 audit 기록,실존 성운대학교와 명칭 충돌
uni05,college,경남,강호,동남대,동남해솔대,동남예대,사용자 최종 지정 이름,이번 수정판의 NEIS 학교명 확인 대상 외,사용자 수정안 / 이전 audit 기록,중국 동남대학의 한국어 명칭과 혼동 방지
uni11,college,인천,중견,인천대,인천해울대,인천해양대,사용자 최종 지정 이름,이번 수정판의 NEIS 학교명 확인 대상 외,사용자 수정안 / 이전 audit 기록,실존 인천대학교와 명칭 충돌
uni13,college,서울,약소,한국사이버대,한국청람사이버대,민국사이버대,사용자 최종 지정 이름,이번 수정판의 NEIS 학교명 확인 대상 외,사용자 수정안 / 이전 audit 기록,숭실사이버대학교의 과거 명칭과 충돌
uni14,college,경기·강원,약소,안산대,안산별하대,단원대,사용자 최종 지정 이름,이번 수정판의 NEIS 학교명 확인 대상 외,사용자 수정안 / 이전 audit 기록,실존 안산대학교와 명칭 충돌
ov03,overseas-college,미국,미분류,미국 포틀랜드대,미국 포틀랜드리버대,미국 롱아일랜드하버대,사용자 최종 지정 이름,해외 전체 명칭 웹 검색에서 동일명 미확인; 부재 보장 아님,user-name-check.json,University of Portland와 명칭 충돌
ov04,overseas-college,미국,미분류,미국 뉴멕시코주립대,미국 뉴멕시코메사대,미국 시카고허드슨대,사용자 최종 지정 이름,이번 수정판의 NEIS 학교명 확인 대상 외,사용자 수정안 / 이전 audit 기록,New Mexico State University와 명칭 충돌
